hiany_id;hiany_eszkoznev;hiany_muszakicsop;hiany_muszakicsopnev
2294;"Laptop - Acer 11.6"" HD Intel Celeron";SS03;Laptop
3447;Laptop - Asus VivoBook S15;SS03;Laptop
3309;Laptop - LENOVO 81Y40088HV;SS03;Laptop
3249;Laptop- ASUS ROG Zephyrus G14;SS03;Laptop
3243;Laptop- LENOVO 15.6FHD Ryzen5-3500U 8GB;SS03;Laptop
3233;Laptop - HP 14s-DQ1004NH;SS03;Laptop
3232;Laptop - Asus VivoBook S14 S412FA;SS03;Laptop
3221;Laptop - ASUS ZenBook;SS03;Laptop
3220;Laptop - ASUS FX506IU-AL404C;SS03;Laptop
3419;Laptop - ASUS TUF;SS03;Laptop
3365;Laptop - Lenovo IdeaPad;SS03;Laptop
2446;Laptop- ACER TravelMate B117-M-P16Q;SS03;Laptop
3330;Laptop - Lenovo V15-ADA;SS03;Laptop
1429;Laptop Dell Inspiron;SS03;Laptop
1430;Laptop DELL Inspiron 15;SS03;Laptop
3323;Laptop - ASUS FX506II-AL133T;SS03;Laptop
3314;Laptop - ASUR ROG Strix G15;SS03;Laptop
1433;Laptop DELL Inspiron 15;SS03;Laptop
3311;Laptop - ASUS VivoBook X512JA;SS03;Laptop
48;Switch Aten Masterwie KVM Cs88A;SE99;Egyéb informatikai eszköz
1646;SWITCH LINKSYS 4 portos wireles wrtg54gl;SH05;Switch
3492;Notebook - HP 14-dik1002nh;SS03;Laptop
3494;Notebook - Asus Vivobook X509JA;SS03;Laptop
3708;Laptop - HP 250 G8;SS03;Laptop
3821;Laptop - HP15;SS03;Laptop
3781;Laptop - Lenovo;SS03;Laptop
3780;Laptop - ASUS ZenBook Flip 13;SS03;Laptop
2557;Laptop- DELL NB Vostro 3568;SS03;Laptop
2511;Laptop- DELL Inspiron G5;SS03;Laptop
3745;Laptop - LENOVO IdeaPad 5-15ALC05;SS03;Laptop
3739;Laptop - Lenovo IdeaPad 3;SS03;Laptop
4119;Monitor - LG IPS;SS02;Monitor
4098;Laptop - DELL Latitude 3520;SS03;Laptop
3822;Laptop - ASUS ROG Strix SCAR;SS03;Laptop
3790;Laptop - AMD Ryzen 3;SS03;Laptop
3787;Laptop - ASUS TUF;SS03;Laptop
3044;"Monitor- LG IPS 23,8""";SS02;Monitor
