hiany_id;hiany_eszkoznev;hiany_muszakicsop;hiany_muszakicsopnev;tobblet_id;tobblet_eszkoznev;tobblet_muszakicsop;toblet_muszakicsopnev
18441;Rekeszes kulcstartó szekrény;BS9920;Szekrény egyéb klf.;24954;Kulcstartó szekrény fém;BS9920;Szekrény egyéb klf.
18441;Rekeszes kulcstartó szekrény;BS9920;Szekrény egyéb klf.;26949;Kulcstartó szekrény;BS9912;Kulcstartó szekrény
13241;ÉTKEZŐASZTAL 6 SZEMÉLYES (DB);BA0202;Étkező asztal 6. személyes;254090;étkezőasztal 4 személyes;BA0201;Étkező asztal 4. személyes
13241;ÉTKEZŐASZTAL 6 SZEMÉLYES (DB);BA0202;Étkező asztal 6. személyes;253893;4 személyes étkezőasztal;BA0201;Étkező asztal 4. személyes
8737;Szarvasi kávéfőző;EH0103;Kávéfőző;28985;Szarvasi kávéfőző;EH0103;Kávéfőző
8737;Szarvasi kávéfőző;EH0103;Kávéfőző;1230;Szarvasi kávéfőző;EH0103;Kávéfőző
20020;Állványos elekt. kézfertőtlenítő adagoló;EL0000;Labortechnikai eszközök;27150;Állványos elekt. kézfertőtlenítő adagoló;EL0000;Labortechnikai eszközök
20020;Állványos elekt. kézfertőtlenítő adagoló;EL0000;Labortechnikai eszközök;28797;Állványos elektromos kézfertőtlenítő;BE0303;Állvány egyéb
11637;ÍRÓASZTAL 134 CM-ES BÜKK;BA0302;Kisméretű íróasztal;28564;ÍRÓASZTAL 134 CM-ES BÜKK;BA0302;Kisméretű íróasztal
11637;ÍRÓASZTAL 134 CM-ES BÜKK;BA0302;Kisméretű íróasztal;25760;ÍRÓASZTAL 134 CM-ES BÜKK;BA0302;Kisméretű íróasztal
11705;TÁRGYALÓASZTAL cseresznye 6 szem.;BA0701;Tárgyalóasztal klf.;28084;Tárgyalóasztal Cseresznye;BA0701;Tárgyalóasztal klf.
11705;TÁRGYALÓASZTAL cseresznye 6 szem.;BA0701;Tárgyalóasztal klf.;28070;Tárgyalóasztal Cseresznye;BA0701;Tárgyalóasztal klf.
11652;GÖRGŐS IRATSZEKRÉNY BÜKK;BS0603;Görgős irattároló;25925;görgős iratszekrény bükk;BS0603;Görgős irattároló
11652;GÖRGŐS IRATSZEKRÉNY BÜKK;BS0603;Görgős irattároló;26239;görgős iratszekrény bükk;BS0603;Görgős irattároló
17932;Bükk 90 fokos ív NNI;BA0401;Íves elem klf.;27518;90 fokos ív bükk;BA0401;Íves elem klf.
17932;Bükk 90 fokos ív NNI;BA0401;Íves elem klf.;27943;90 fokos ív Bükk;BA0401;Íves elem klf.
384;Töltő-ürítő lövedékcsapda;EE1011;Lövedékmegfogó berendezés;1193;Töltő-ürítő lövedékcsapda;EE1011;Lövedékmegfogó berendezés
384;Töltő-ürítő lövedékcsapda;EE1011;Lövedékmegfogó berendezés;27029;DAD lövedékcsapda;EE1011;Lövedékmegfogó berendezés
1044;Fotelágy (DB);BE0107;Fotelágy;1282;Fotelágy;BE0107;Fotelágy
1044;Fotelágy (DB);BE0107;Fotelágy;1369;Fotelágy szürke;BE0107;Fotelágy
